#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
C1|CO03||BHN|-30.8389|-70.6891|1003.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2014-02-11T00:00:00|
C1|CO03||BHZ|-30.8389|-70.6891|1003.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2014-02-11T00:00:00|
C1|CO04||BHE|-32.0433|-70.9747|2401.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-02-08T00:00:00|
C1|CO04||BHN|-32.0433|-70.9747|2401.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-02-08T00:00:00|
C1|CO04||BHZ|-32.0433|-70.9747|2401.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-02-08T00:00:00|
C1|CO06||BHE|-30.673813|-71.634987|246.6|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2015-05-11T00:00:00|
C1|CO06||BHN|-30.673813|-71.634987|246.6|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2015-05-11T00:00:00|
C1|CO06||BHZ|-30.673813|-71.634987|246.6|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2015-05-11T00:00:00|
C1|DG01||BHE|-33.4563|-70.6624|609.0|0.0|90.0|0.0|CMG-40T, 30 s, 800 V/m/s-Q330SR, gain 1, 100 sps,|501719000.0|0.2|m/s|40.0|2013-06-07T00:00:00|2015-02-16T12:40:39
C1|DG01||BHN|-33.4563|-70.6624|609.0|0.0|0.0|0.0|CMG-40T, 30 s, 800 V/m/s-Q330SR, gain 1, 100 sps,|501719000.0|0.2|m/s|40.0|2013-06-07T00:00:00|2015-02-16T12:40:39
